id,url,type,subject,list,subject_id,list_id
1,https://pagellapolitica.it/fact-checking/flat-tax-lega-milionari,fact-checking,Flat tax,Lega,5,2
2,https://pagellapolitica.it/articoli/promessa-nucleare-italia-elezioni-2022,articolo,Nucleare,,16,
3,https://pagellapolitica.it/articoli/promessa-nucleare-italia-elezioni-2022,articolo,Riforma del sistema penitenziario,Fratelli d'Italia,105,1
4,https://pagellapolitica.it/articoli/promessa-nucleare-italia-elezioni-2022,articolo,Tetto al prezzo del gas,,1,
5,https://pagellapolitica.it/articoli/promessa-nucleare-italia-elezioni-2022,fact-checking,Lotta alla corruzione,Azione-Italia Viva-Calenda,100,10
