id,title,slug,type,url,list,list_id
32,Programma giovani AVS,programma-giovani-avs,programma,https://verdisinistra.it/pretendiamo-il-futuro/,Alleanza Verdi e Sinistra,6
33,Programma turismo Fratelli d'Italia,programma-turismo-fratelli-ditalia,programma,https://www.fratelli-italia.it/wp-content/uploads/2022/08/Programma-turismo_2022.pdf,Fratelli d'Italia,1
34,Programma Impegno Civico presso Ministero Interno,programma-impegno-civico-presso-ministero-interno,programma,https://dait.interno.gov.it/documenti/trasparenza/POLITICHE_20220925/Documenti/54/(54_progr_2_)-programma_impegno_civico-ldm-cd_autenticato.docx.pdf,Impegno Civico,8
35,Tweet Berlusconi 8 settembre 2022,tweet-berlusconi-8-settembre-2022,tweet,https://twitter.com/berlusconi/status/1567815094188253185,Forza Italia,3
36,Tweet M5S 10 settembre 2022,tweet-m5s-10-settembre-2022,tweet,https://twitter.com/Mov5Stelle/status/1568675709308248064?s=20&t=Oj3EeiQmC3cMUN8XGbqqFw,Movimento 5 Stelle,9
37,Tweet Conte 10 settembre 2022,tweet-conte-10-settembre-2022,tweet,https://twitter.com/GiuseppeConteIT/status/1568671860811776002,Movimento 5 Stelle,9
38,Tweet M5S 9 settembre 2022,tweet-m5s-9-settembre-2022,tweet,https://twitter.com/Mov5Stelle/status/1568298190436126720,Movimento 5 Stelle,9
39,Tweet Impegno Civico 8 settembre 2022,tweet-impegno-civico-8-settembre-2022,tweet,https://twitter.com/impegno_civico/status/1567783677504921600,Impegno Civico,8
40,Tweet Paragone 31 agosto 2022,tweet-paragone-31-agosto-2022,tweet,https://twitter.com/gparagone/status/1565050983453003776,Italexit,11
41,Post M5S 5 settembre 2022,post-m5s-5-settembre-2022,post,https://www.facebook.com/photo.php?fbid=617325986430661,Movimento 5 Stelle,9
42,Tweet M5S 28 luglio 2022,tweet-m5s-28-luglio-2022,tweet,https://twitter.com/Mov5Stelle/status/1552694631548293127,Movimento 5 Stelle,9
43,Post M5S 12 settembre 2022,post-m5s-12-settembre-2022,post,https://www.facebook.com/movimento5stelle/posts/pfbid0gLCEda7AygGJ4sW2ZAXmueHYZKajNiFbj1j3LtxszC3GPwneW4LZZwq5sUGSb1c8l,Movimento 5 Stelle,9
44,Carta di Taranto (PD),carta-di-taranto-pd,programma,https://www.partitodemocratico.it/wp-content/uploads/Carta-di-Taranto.pdf,Partito Democratico,5
45,Post M5S 13 settembre 2022,post-m5s-13-settembre-2022,post,https://www.facebook.com/photo/?fbid=623380572491869,Movimento 5 Stelle,9
46,Programma esteso M5S,programma-esteso-m5s,programma,https://www.movimento5stelle.eu/wp-content/uploads/2022/09/Programma-M5S-completo-2022-09-12.pdf,Movimento 5 Stelle,9
