id,coalition
1,Centro-sinistra
2,Centro
3,Centro-destra
4,Movimento 5 Stelle
5,Alternativa Per l'Italia
6,Alternativa
7,Italexit
8,Italia Sovrana e Popolare
9,Unione Popolare
